# Time-averaged data for fix temp_GR
# TimeStep v_mytemp c_GR_1 c_GR_2 c_GR_3 c_GR_4 c_GR_5 c_GR_6
328000 320.266 9.5358 10.1974 10.1169 12.536 9.22317 9.95639
329000 317.724 9.44124 10.1756 10.1159 12.6449 9.20545 9.88225
330000 320.03 9.55628 10.1615 10.1272 12.5487 9.26078 10.153
331000 318.251 9.45634 10.0694 10.0777 12.5603 9.19565 10.0314
332000 318.257 9.46972 10.1198 10.0793 12.6651 9.19163 9.81305
333000 320.056 9.6337 10.1254 10.1847 12.6278 9.25867 10.0843
334000 316.53 9.607 10.1442 10.145 12.5389 9.17454 10.0732
335000 314.847 9.58897 10.307 10.1174 12.6536 9.23287 9.86221
336000 317.639 9.54937 10.2442 10.0345 12.6912 9.30264 10.0585
337000 311.585 9.56692 10.1039 10.0272 12.8029 9.22414 10.0088
338000 306.577 9.48418 10.2319 10.2413 12.6471 9.21637 9.90311
339000 311.945 9.51321 10.2021 10.1244 12.5071 9.2219 10.0015
340000 306.714 9.51154 10.2374 10.0724 12.4314 9.22095 9.8899
341000 308.428 9.45103 10.1262 9.99753 12.5739 9.25675 10.0417
342000 311.199 9.53729 10.2049 10.1143 12.5031 9.32334 9.94338
343000 308.938 9.56763 10.1802 10.2092 12.5971 9.29619 9.84057
344000 307.412 9.49735 10.2696 10.1871 12.6059 9.22217 9.83399
345000 307.206 9.46328 10.2613 10.1289 12.5923 9.15499 9.88981
346000 301.863 9.57171 10.2019 10.0698 12.5791 9.33853 9.90762
347000 303.196 9.53219 10.2012 10.0672 12.6666 9.19327 9.83641
348000 301.466 9.6067 10.1828 10.162 12.6119 9.25407 9.97969
349000 300.973 9.63944 10.346 10.1449 12.4593 9.19484 9.89326
350000 297.287 9.6351 10.3807 10.0506 12.7451 9.18267 9.79013
351000 300.723 9.59686 10.1941 10.0897 12.6372 9.20351 9.77082
352000 299.787 9.49703 10.0723 10.0849 12.4082 9.18972 9.82048
353000 295.268 9.62136 9.93055 9.9993 12.6268 9.27265 9.75974
354000 294.595 9.51956 10.0558 10.0181 12.5636 9.18223 9.95684
355000 294.337 9.52907 10.192 10.0948 12.5747 9.16788 9.81582
356000 296.784 9.65674 10.1912 10.1273 12.5523 9.18493 9.8112
357000 293.843 9.57405 10.2435 10.0757 12.6349 9.22958 9.84671
358000 289.87 9.63285 10.1538 10.1255 12.7618 9.23718 9.81283
359000 290.848 9.55548 10.0726 10.1195 12.7018 9.15335 9.91228
360000 289.546 9.55353 10.2902 10.1357 12.5958 9.22428 9.78717
361000 286.629 9.60348 10.2689 10.1547 12.638 9.2163 9.84214
362000 286.753 9.50878 10.1677 10.0281 12.5928 9.23766 9.90466
363000 287.622 9.55913 10.2078 9.9348 12.7036 9.25969 9.80484
364000 287.019 9.55965 10.0356 10.0001 12.5725 9.23915 9.74252
365000 282.655 9.58573 10.0372 10.1644 12.6161 9.2081 9.85495
366000 281.686 9.45639 10.0503 10.0643 12.5651 9.19414 9.78832
367000 282.701 9.54563 10.2168 10.1101 12.5251 9.16818 9.77774
368000 285.156 9.57382 10.1436 10.0725 12.6764 9.10283 9.81916
369000 279.684 9.56245 10.1214 10.0387 12.6654 9.21677 9.81977
370000 281.114 9.57215 10.2194 10.0386 12.7764 9.16012 9.86876
371000 278.117 9.53681 10.1927 10.1465 12.6986 9.1645 9.86852
372000 277.145 9.56552 10.2301 10.1792 12.7675 9.23283 9.8572
373000 277.694 9.58064 10.264 10.0319 12.7204 9.10749 9.81163
374000 275.837 9.64475 10.2377 10.057 12.7021 9.21591 9.86957
